[ 5941.758501] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.774612] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.790629] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.806647] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.822703] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.838754] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.854815] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.870945] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.887155] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.903252] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.919340] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.935463] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.951515] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.967635] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.983680] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5941.999745] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.015858] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.031979] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.048101] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.064150] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.080180] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.096230] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.112245] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.128294] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.144346] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.160397] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.176409] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.192462] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.208485] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.224815] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.240872] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.256929] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.272986] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.289055] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.305085] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.321118] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.337193] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.353241] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.369296] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.385354] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.401387] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.417439] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.433486] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.449509] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.465536] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.481607] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.497728] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.513850] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.529980] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.546033] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.562055] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.578068] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.594130] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.610143] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.626154] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.642167] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.658259] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.674324] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.690495] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.706554] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.722685] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.738798] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.754918] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.770940] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.774227] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5942600415827
[ 5942.787057] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.803133] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.819300] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.835527] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.851576] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.867627] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.883650] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.899766] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.915778] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.931802] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.947907] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.964046] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.980108] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5942.996131] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.012158] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.028193] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.044249] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.060281] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.076456] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.092537] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5943.108556] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
